url,category,comment,hate_towards_whom,label,id
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,you cannot mix Wild Chimps into the general population,Community,yes,0202da52-e06d-4a1b-8c3f-0d1cd2d98eed
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,there is no way to mix wild chimps with the general population,Community,yes,eea228a8-d9bb-4ccb-ba22-8347c6d90a98
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,there's no way to mix wild chimps with the general population,Community,yes,77b20e67-0d0f-41c1-825b-6626c17047a2
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,you can't mix wild chimps with the general population,Community,yes,0db8931b-bac9-405a-b53f-04dec4786fac
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,You cannot mix wild chimpanzees in the general population,Community,yes,cfaf64dc-ae33-426c-90a8-9f6663d514cc
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,wild chimpanzees in the general population are not allowed to mix,Community,yes,ea722ccc-9d53-49f4-82d4-63f9d9037ac8
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,keep white and black separate,Community,yes,0929cd5e-6815-4e05-b1f0-3a2cd29b17a1
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty, Keep the white and black separate,Community,yes,8fac7994-45a0-4dfd-a581-5ea90355744b
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,"She is probably the only female ""first lady"".",Community,yes,97c94588-f18f-4b23-94b8-2d399389c87a
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only female first lady in history,Community,yes,3dbbe617-5838-4896-b3e0-e64f03302304
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only female first lady,Community,yes,1c840444-ac88-48c5-8e6b-edc6cc39fd56
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,"She's probably the only ""first lady"" woman.",Community,yes,13bdbcf3-4240-48b5-96ae-1d7914cfd820
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only first lady,Community,yes,c43aca60-0eee-4a70-8d35-a3bf2143d7b7
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only first lady woman,Community,yes,f43e0c73-d492-4887-8b54-59f1e309da3a
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,That is like comparing a Ferrari to a garbage truck. Atleast the garbage truck serves a purpose,Individual,yes,ff50d4b2-0c7b-43d8-8491-be682e140d80
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,it's like comparing a ferrari to a garbage truck,Individual,yes,12aa1b6c-d27d-4b73-ac73-ee5d943d4e99
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,if you compare a ferrari to a garbage truck then at least the garbage truck serves a purpose,Individual,yes,be52eff6-32f6-45a9-9d0b-b6012312e5e4
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,It's like comparing a Ferrari to a garbage truck. At least the garbage truck serves a purpose.,Individual,yes,f80deee0-19fc-41a3-92c4-597264a14f26
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,like comparing a ferrari to a garbage truck,Individual,yes,89f95cad-901c-4875-956d-dc1fa731587c
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,Wrong it's a man,Individual,yes,6fcb9c07-1d84-4976-9493-d7c5bb5b4d9a
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,- He's a man.,Individual,yes,e6d35bc8-20f8-4299-8ef7-f6c3559e4d24
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,I tell you what we went from a first lady that commands respect. To a third-rate bargain-basement social climber who runs around demanding respect like her insisting everybody call her doctor.,Individual,yes,d511a239-6689-4cac-bf66-47276ea7e75d
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,we went from a first lady who commands respect to a third-rate bargain-basement social climber who runs around demanding respect like her and insists that everyone call her doc,Individual,yes,bfb68779-9ef4-426f-a465-b0d4ea028ccf
