url,category,comment,label,target
https://www.youtube.com/watch?v=BhSucJ1KDcU,fashion & beauty,Un sorry I can’t unsee this. mindless pretenders.,yes,Organisation
https://www.youtube.com/watch?v=BhSucJ1KDcU,fashion & beauty,i'm sorry but i can't see this,yes,Organisation
https://www.youtube.com/watch?v=BhSucJ1KDcU,fashion & beauty,i'm sorry i can't see,yes,Organisation
https://www.youtube.com/watch?v=BhSucJ1KDcU,fashion & beauty,i'm sorry i can't see it,yes,Organisation
https://www.youtube.com/watch?v=BhSucJ1KDcU,fashion & beauty,i'm sorry i can't see this,yes,Organisation
https://www.youtube.com/watch?v=BhSucJ1KDcU,fashion & beauty,i am sorry i can't see this,yes,Organisation
https://www.youtube.com/watch?v=BhSucJ1KDcU,fashion & beauty,i am sorry i can't see this mindless pretender,yes,Organisation
https://www.youtube.com/watch?v=yJoQj5-TIvE,health,i love pretending i understand these videos,no,None
https://www.youtube.com/watch?v=yJoQj5-TIvE,health,i love pretending i understand these movies,no,None
https://www.youtube.com/watch?v=yJoQj5-TIvE,health,i like pretending to understand these videos,no,None
https://www.youtube.com/watch?v=yJoQj5-TIvE,health,i love pretending to understand these videos,no,None
https://www.youtube.com/watch?v=2qWoegDcHMI,fitness,"As a beginner, all you need to do for starting is the bench press, overhead press, Pulldown, Squat and Deadlifts and your gains will be so much faster than the isolation machines. You gotta have a really good form for your own accord though, so spend the first month doing these with just the bar so you get accustomed to the proper movement. And don't go for 1 rep max from the beginning, you risk potential injuries even with proper form because you are weak at the start. 5 sets of 5 is the best. Your welcome",no,None
https://www.youtube.com/watch?v=RKpIh5gI01w&ab_channel=JimmyKimmelLive,entertainment,I hope all these woman end these relationships. Shows a complete lack of interest in who the woman are. Not a funny bit at all. Beyond depressing,yes,Individual
https://www.youtube.com/watch?v=PA21Bok59rQ,entertainment,"respect to the man, but the chinese have surely invaded the US",yes,Community
https://www.youtube.com/watch?v=VEQaH4LruUo,health,"The dude looks like a lemon, excellent animation TED-X. Atleast do that properly",yes,Organisation
https://www.youtube.com/watch?v=cjbgZwgdY7Q,health,Me: sneeze* Periods: ORAORAORAORA,no,None
https://www.youtube.com/watch?v=PEUuSm7gHHk,sports,Dhoni be like: If you want to use your brain use it on dream 11 😂,no,None
https://www.youtube.com/watch?v=MgEMapBF09U,news & politics,Need more women representation in there.,no,None
https://www.youtube.com/watch?v=MgEMapBF09U,news & politics,we need more representation of women in this country,no,None
https://www.youtube.com/watch?v=MgEMapBF09U,news & politics,we need more women,no,None
https://www.youtube.com/watch?v=MgEMapBF09U,news & politics,we need more representation of women in the country,no,None
https://www.youtube.com/watch?v=MgEMapBF09U,news & politics,we need more representation of women,no,None
https://www.youtube.com/watch?v=MgEMapBF09U,news & politics,we need more women representation,no,None
