Namespace(add_comment=True, add_description=True, add_other_comments=False, add_title=False, add_transcription=True, add_video=True, batch_size=8, clip_embeedings_path='data/CLIP_embeddings', debug=False, desc_keyphrase_extract=True, desc_token_count=100, freeze_lf_layers=23, gpu='2', lr=0.0003, max_epochs=30, max_len=512, metadata_path='data/extra_data_trans.csv', model='bert-large-cased', multitask=False, num_workers=0, other_comments_path='data/extra_data_other_comments.csv', other_comments_token_count=300, pad_metadata=True, remove_none=False, test_question_file='data/with_aug_ttv/test.csv', title_token_count=50, train_question_file='data/with_aug_ttv/train.csv', transcript_keyphrase_extract=True, transcript_token_count=512, validation_question_file='data/with_aug_ttv/eval.csv', video_path='data/videos/', work_dir='model_comment/')
wandb: Currently logged in as: shrey2809 (is_project). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.15.4
wandb: Run data is saved locally in /scratch/AzureNfsServer_INPUT1/vc_data/users/gmanish/multiModalHate/IS-Hate-Speech/wandb/run-20230612_181340-9mxhat58
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run flowing-waterfall-256
wandb: ⭐️ View project at https://wandb.ai/is_project/vision_models
wandb: 🚀 View run at https://wandb.ai/is_project/vision_models/runs/9mxhat58
number of available devices: 1
obtained dataloaders
Some weights of the model checkpoint at bert-large-cased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
loaded models
Train Epoch-0   Iter-0  /706	loss 0.7656 (0.7656)	accu 0.250 (0.250)	
Train Epoch-0   Iter-25 /706	loss 0.7605 (0.7273)	accu 0.250 (0.433)	
Train Epoch-0   Iter-50 /706	loss 0.6994 (0.6997)	accu 0.500 (0.510)	
Train Epoch-0   Iter-75 /706	loss 0.8375 (0.6657)	accu 0.625 (0.572)	
Train Epoch-0   Iter-100/706	loss 0.7232 (0.6371)	accu 0.500 (0.604)	
Train Epoch-0   Iter-125/706	loss 0.2682 (0.5983)	accu 0.875 (0.647)	
Train Epoch-0   Iter-150/706	loss 0.5683 (0.5570)	accu 0.750 (0.682)	
Train Epoch-0   Iter-175/706	loss 0.4426 (0.5355)	accu 0.875 (0.704)	
Train Epoch-0   Iter-200/706	loss 0.2605 (0.5058)	accu 0.875 (0.728)	
Train Epoch-0   Iter-225/706	loss 0.5585 (0.4880)	accu 0.875 (0.742)	
Train Epoch-0   Iter-250/706	loss 0.3774 (0.4706)	accu 0.750 (0.756)	
Train Epoch-0   Iter-275/706	loss 0.1021 (0.4535)	accu 1.000 (0.770)	
Train Epoch-0   Iter-300/706	loss 0.4611 (0.4410)	accu 0.875 (0.781)	
Train Epoch-0   Iter-325/706	loss 0.1374 (0.4332)	accu 1.000 (0.789)	
Train Epoch-0   Iter-350/706	loss 0.3658 (0.4374)	accu 0.875 (0.791)	
Train Epoch-0   Iter-375/706	loss 0.4124 (0.4341)	accu 0.875 (0.794)	
Train Epoch-0   Iter-400/706	loss 0.2061 (0.4253)	accu 0.875 (0.800)	
Train Epoch-0   Iter-425/706	loss 0.0877 (0.4196)	accu 1.000 (0.804)	
Train Epoch-0   Iter-450/706	loss 0.3085 (0.4113)	accu 0.750 (0.810)	
Train Epoch-0   Iter-475/706	loss 0.0442 (0.4067)	accu 1.000 (0.814)	
Train Epoch-0   Iter-500/706	loss 0.0899 (0.4003)	accu 1.000 (0.819)	
Train Epoch-0   Iter-525/706	loss 0.4633 (0.3921)	accu 0.875 (0.824)	
